Year,Week,Winning Team,Winning Score,Losing Team,Losing Score
2014,Week 2,Avengers Athletics,114.14,The Moose Whisperers,104.56
2014,Week 3,Fighting Americans,94.52,The Brute Squad,84.7
2014,Week 3,Black Bears,115.04,istilldontknowstuff,95.52
2014,Week 3,Low Expectations,130.04,Non-fiction People,99.1
2014,Week 3,Password is Taco,97.58,Avengers Athletics,41.38
2014,Week 3,The_Dark_Side,90.92,The Moose Whisperers,81.26
2014,Week 4,The Brute Squad,136.18,Non-fiction People,114.02
2014,Week 4,istilldontknowstuff,105.3,Fighting Americans,97.62
2014,Week 4,Black Bears,121.9,The_Dark_Side,114.08
2014,Week 4,Low Expectations,124.72,Avengers Athletics,83.18
2014,Week 4,Password is Taco,107.58,The Moose Whisperers,63.26
2014,Week 5,The Brute Squad,95.22,Avengers Athletics,91.54
2014,Week 5,istilldontknowstuff,110.54,Non-fiction People,83.68
2014,Week 5,Fighting Americans,124.66,Black Bears,122.44
2014,Week 5,The Moose Whisperers,142.42,Low Expectations,84.94
2014,Week 5,The_Dark_Side,111.54,Password is Taco,84.56
2014,Week 6,The Brute Squad,127.62,The Moose Whisperers,93.62
2014,Week 6,istilldontknowstuff,105.94,Avengers Athletics,100.34
2014,Week 6,Non-fiction People,111.6,Black Bears,109.6
2014,Week 6,Fighting Americans,90.28,The_Dark_Side,83.44
2014,Week 6,Password is Taco,99.5,Low Expectations,89.24
2014,Week 7,The Brute Squad,102,Password is Taco,83.36
2014,Week 7,istilldontknowstuff,107.88,The Moose Whisperers,88.12
2014,Week 7,Black Bears,115.66,Avengers Athletics,91.6
2014,Week 7,Non-fiction People,97.86,Fighting Americans,75.02
2014,Week 7,The_Dark_Side,121.52,Low Expectations,59.32
2014,Week 8,Low Expectations,101.32,The Brute Squad,91.08
2014,Week 8,Password is Taco,128.36,istilldontknowstuff,108.24
2014,Week 8,Black Bears,135.26,The Moose Whisperers,133.4
2014,Week 8,Avengers Athletics,110.12,Fighting Americans,66.64
2014,Week 8,Non-fiction People,138.4,The_Dark_Side,78.86
2014,Week 9,The_Dark_Side,90.96,The Brute Squad,82.22
2014,Week 9,Low Expectations,111.04,istilldontknowstuff,105.68
2014,Week 9,Black Bears,114.32,Password is Taco,109.42
2014,Week 9,The Moose Whisperers,140.5,Fighting Americans,95.42
2014,Week 9,Non-fiction People,107.56,Avengers Athletics,100.16
2014,Week 10,The Brute Squad,108.98,istilldontknowstuff,79.18
2014,Week 10,Black Bears,145.2,Low Expectations,70.96
2014,Week 10,Password is Taco,126.14,Fighting Americans,97.5
2014,Week 10,The Moose Whisperers,138.32,Non-fiction People,103.28
2014,Week 10,Avengers Athletics,117,The_Dark_Side,93.48
2014,Week 11,Black Bears,96.48,The Brute Squad,80.22
2014,Week 11,The_Dark_Side,86.22,istilldontknowstuff,82.2
2014,Week 11,Low Expectations,105.22,Fighting Americans,70.96
2014,Week 11,Non-fiction People,124.42,Password is Taco,83.48
2014,Week 11,The Moose Whisperers,129.18,Avengers Athletics,70.84
2014,Week 12,The Brute Squad,123.32,Fighting Americans,78.78
2014,Week 12,Black Bears,123.36,istilldontknowstuff,74.8
2014,Week 12,Low Expectations,115.82,Non-fiction People,89.62
2014,Week 12,Password is Taco,101.2,Avengers Athletics,67.26
2014,Week 12,The Moose Whisperers,143.02,The_Dark_Side,101.34
2014,Week 13,Non-fiction People,130,The Brute Squad,77.5
2014,Week 13,istilldontknowstuff,100.18,Fighting Americans,65.26
2014,Week 13,Black Bears,141.6,The_Dark_Side,72.04
2014,Week 13,Avengers Athletics,120.92,Low Expectations,93.14
2014,Week 13,Password is Taco,124.86,The Moose Whisperers,111.5
2014,Wild Card 1,Low Expectations,129.5,The Brute Squad,128.68
2014,Wild Card 2,Password is Taco,107.7,istilldontknowstuff,60.8
2014,Consolation 1,Fighting Americans,85.02,The_Dark_Side,74.72
2014,Consolation 2,The Moose Whisperers,130.1,Avengers Athletics,53.4
2014,Semi Final 1,Black Bears,105.88,Low Expectations,73.7
2014,Semi Final 2,Password is Taco,97.1,Non-fiction People,95.88
2014,5th Place,istilldontknowstuff,109.1,The Brute Squad,63.58
2014,9th Place,The_Dark_Side,133.86,Avengers Athletics,77.22
2014,7th Place,The Moose Whisperers,91.4,Fighting Americans,76.84
2014,3rd Place,Low Expectations,88.28,Non-fiction People,73.66
2014,Championship,Password is Taco,114.22,Black Bears,104.28
2015,Week 1,The Brute Squad,116.54,Fighting Americans,98.3
2015,Week 1,The Lincoln Lincolns,149.72,Password is Taco,78.84
2015,Week 1,Avengers Athletics,102.32,The_Dark_Side,90.14
2015,Week 1,istilldontknowstuff,95.2,Non-fiction People,93.26
2015,Week 1,Black Bears,110.32,The Moose Whisperers,108.22
